Rank,Ürün Adı,Fiyat,Link
19,Samsung Galaxy S24 FE 256 GB 8 GB RAM Cep Telefonu Gri,"₺29.999,00",https://www.a101.com.tr/elektronik/samsung-galaxy-s24-fe-256-gb-8-gb-ram-cep-telefonu-gri_p-26053705
20,Xiaomi Redmi Note 14 256 GB 8 GB RAM Cep Telefonu Mavi,"₺11.799,00",https://www.a101.com.tr/elektronik/xiaomi-redmi-note-14-256-gb-8-gb-ram-cep-telefonu-mavi_p-26057057
21,Samsung Galaxy S24 FE 256 GB 8 GB RAM Cep Telefonu Siyah,"₺29.999,00",https://www.a101.com.tr/elektronik/samsung-galaxy-s24-fe-256-gb-8-gb-ram-cep-telefonu-siyah_p-26053705
22,Samsung Galaxy A17 5G 256 GB 8 GB RAM Cep Telefonu Mavi,"₺13.499,00",https://www.a101.com.tr/elektronik/samsung-galaxy-a17-5g-256-gb-8-gb-ram-cep-telefonu-mavi_p-26065746
23,Altus AL 101 YB 10 kg Çamaşır Kurutma Makinesi,"₺14.499,00",https://www.a101.com.tr/elektronik/altus-al-101-yb-10-kg-camasir-kurutma-makinesi_p-26065735
24,Volta EV1 Elektrikli Araç Gümüş Gri,"₺229.990,00",https://www.a101.com.tr/oto-bahce-yapi/volta-ev1-elektrikli-arac-gumus-gri_p-26062936
25,Altus AL 445 NX 5 Programlı Bulaşık Makinesi,"₺12.999,00",https://www.a101.com.tr/elektronik/altus-al-445-nx-5-programli-bulasik-makinesi_p-26065727
26,Altus AL 93 YB 9 Kg Çamaşır Kurutma Makinesi,"₺13.499,00",https://www.a101.com.tr/elektronik/altus-al-93-yb-9-kg-camasir-kurutma-makinesi_p-26065734
27,Bosch V-Line Matkap Vidalama ve Lokma Ucu Seti 103 Parça,"₺999,00",https://www.a101.com.tr/oto-bahce-yapi/bosch-v-line-matkap-vidalama-ve-lokma-ucu-seti-103-parca_p-26066587
28,Nehir Düz Tatlı Çatalı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-duz-tatli-catali_p-26007970
29,Fisher Price Sesli ve Işıklı Eğitici Lazımlık,"₺549,00",https://www.a101.com.tr/anne-bebek-oyuncak/fisher-price-sesli-ve-isikli-egitici-lazimlik_p-26016363
30,Kzy Mobilya Güney 4 Raflı 2 Kapaklı Çok Amaçlı Ayakkabılık Beyaz,"₺1.499,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-guney-4-rafli-2-kapakli-cok-amacli-ayakkabilik-beyaz_p-26065416
31,"Stanley 10-09382-111 Klasik Kaşıklı Yemek Termosu 0,40 L Açık Gri","₺1.599,00",https://www.a101.com.tr/ev-yasam/stanley-10-09382-111-klasik-kasikli-yemek-termosu-0-40-l-acik-gri_p-26019524
32,Altus AL CM 101254 D 10 Kg 1200 Devir Çamaşır Makinesi,"₺19.499,00",https://www.a101.com.tr/elektronik/altus-al-cm-101254-d-10-kg-1200-devir-camasir-makinesi_p-26065729
33,Xiaomi Body Composition Scale S400 Baskül,"₺999,00",https://www.a101.com.tr/elektronik/xiaomi-body-composition-scale-s400-baskul_p-26066513
34,Altus AL CM 91050 9 Kg 1000 Devir Çamaşır Makinesi,"₺17.499,00",https://www.a101.com.tr/elektronik/altus-al-cm-91050-9-kg-1000-devir-camasir-makinesi_p-26065742
35,Xiaomi Humidifier 2 Lite Hava Nemlendirici,"₺1.999,00",https://www.a101.com.tr/elektronik/xiaomi-humidifier-2-lite-hava-nemlendirici_p-26048510
36,Tsuyoi Kaze Universal Motosiklet Brandası,"₺399,00",https://www.a101.com.tr/oto-bahce-yapi/tsuyoi-kaze-universal-motosiklet-brandasi_p-26021224
37,Tsuyoi Kaze Universal Motosiklet Sele Kılıfı,"₺79,50",https://www.a101.com.tr/oto-bahce-yapi/tsuyoi-kaze-universal-motosiklet-sele-kilifi_p-26021225
38,Tsuyoi Kaze Neopren Yüz Maskesi,"₺99,50",https://www.a101.com.tr/oto-bahce-yapi/tsuyoi-kaze-neopren-yuz-maskesi_p-26021234
39,Sezeray Serni 4 Katlı Sepetli Oyuncak Dolabı Renkli,"₺899,00",https://www.a101.com.tr/anne-bebek-oyuncak/sezeray-serni-4-katli-sepetli-oyuncak-dolabi-renkli_p-26066857
40,Fantom Carbon DC500 Dikey Süpürge Gri,"₺1.899,00",https://www.a101.com.tr/elektronik/fantom-carbon-dc500-dikey-supurge-gri_p-26042179
41,Philips 5000 Serisi HR2695/01 1200 W Blender Seti,"₺3.599,00",https://www.a101.com.tr/elektronik/philips-5000-serisi-hr2695-01-1200-w-blender-seti_p-26067200
42,Kiwi KCJ-1807 Katı Meyve Sıkacağı,"₺1.699,00",https://www.a101.com.tr/elektronik/kiwi-kcj-1807-kati-meyve-sikacagi_p-26029685
43,Altus AL 434P 4 Programlı Bulaşık Makinesi,"₺11.999,00",https://www.a101.com.tr/elektronik/altus-al-434p-4-programli-bulasik-makinesi_p-26065728
44,Xiaomi Smart Humidifier 2 Buhar Makinesi,"₺2.999,00",https://www.a101.com.tr/elektronik/xiaomi-smart-humidifier-2-buhar-makinesi_p-26048509
45,Kiwi KCC-4318 Koltuk ve Halı Yıkama Makinesi Beyaz,"₺2.699,00",https://www.a101.com.tr/elektronik/kiwi-kcc-4318-koltuk-ve-hali-yikama-makinesi-beyaz_p-26054840
46,Kzy Mobilya 8 Raflı 2 Kapaklı 16R Çok Amaçlı Dolap Beyaz,"₺2.199,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-8-rafli-2-kapakli-16r-cok-amacli-dolap-beyaz_p-26065415
47,Calvin Klein Euphoria Erkek Deo Stick 75 ml,"₺1.099,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-euphoria-erkek-deo-stick-75-ml_p-24000175
48,Calvin Klein Eternity Erkek Deo Stick 75 G,"₺899,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-eternity-erkek-deo-stick-75-g_p-24005206
49,Altus AL CM 121460 D 12 Kg 1400 Devir Çamaşır Makinesi,"₺20.999,00",https://www.a101.com.tr/elektronik/altus-al-cm-121460-d-12-kg-1400-devir-camasir-makinesi_p-26065749
50,Regal BT 901 Büro Tipi Buzdolabı,"₺6.999,00",https://www.a101.com.tr/elektronik/regal-bt-901-buro-tipi-buzdolabi_p-26047376
51,Altus AL KM 1160 11 Kg Çamaşır Kurutma Makinesi,"₺18.499,00",https://www.a101.com.tr/elektronik/altus-al-km-1160-11-kg-camasir-kurutma-makinesi_p-26065744
52,Samsung WW11DG5B25AEAH Çamaşır Makinesi 11 kg Beyaz,"₺23.999,00",https://www.a101.com.tr/elektronik/samsung-ww11dg5b25aeah-camasir-makinesi-11-kg-beyaz-_p-26065747
53,Volta VM5 Neo Üç Tekerlekli Moped Mavi,"₺74.990,00",https://www.a101.com.tr/oto-bahce-yapi/volta-vm5-neo-uc-tekerlekli-moped-mavi_p-26062923
54,"Toshiba 55QV2363DT 55"" QLED 4K Ultra HD Smart TV","₺22.999,00",https://www.a101.com.tr/elektronik/toshiba-55qv2363dt-55-qled-4k-ultra-hd-smart-tv_p-26062316
55,Volta VM5 Neo Üç Tekerlekli Moped Kırmızı,"₺74.990,00",https://www.a101.com.tr/oto-bahce-yapi/volta-vm5-neo-uc-tekerlekli-moped-kirmizi_p-26062922
56,Altus AL 380 XE Buzdolabı,"₺28.999,00",https://www.a101.com.tr/elektronik/altus-al-380-xe-buzdolabi_p-26066346
57,Samsung RT47CG6636WWTR No Frost Buzdolabı,"₺27.999,00",https://www.a101.com.tr/elektronik/samsung-rt47cg6636wwtr-no-frost-buzdolabi_p-26051208
58,Molfix Bebek Bezi No:6 XL 62 Adet,"₺329,00",https://www.a101.com.tr/anne-bebek-oyuncak/molfix-bebek-bezi-no-6-xl-62-adet_p-23000854
59,Tsuyoi Kaze Balaklava,"₺69,50",https://www.a101.com.tr/oto-bahce-yapi/tsuyoi-kaze-balaklava_p-26028834
60,Molfix Bebek Bezi No:5 Junior 78 Adet,"₺329,00",https://www.a101.com.tr/anne-bebek-oyuncak/molfix-bebek-bezi-no-5-junior-78-adet_p-23000853
61,Nehir Çay Kaşığı,"₺25,00",https://www.a101.com.tr/ev-yasam/nehir-cay-kasigi_p-26007980
62,Tantitoni 2 Bölmeli Yemek Taşıma Kabı 710 ml Pembe,"₺449,00",https://www.a101.com.tr/ev-yasam/tantitoni-2-bolmeli-yemek-tasima-kabi-710-ml-pembe_p-26040909
63,Nehir Desenli Yemek Kaşığı,"₺50,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-yemek-kasigi_p-26007907
64,Molfix Bebek Bezi No:4 Maxi 100 Adet,"₺329,00",https://www.a101.com.tr/anne-bebek-oyuncak/molfix-bebek-bezi-no-4-maxi-100-adet_p-23000852
65,Nehir Düz Yemek Çatalı,"₺50,00",https://www.a101.com.tr/ev-yasam/nehir-duz-yemek-catali_p-26007911
66,Nehir Servis Kaşığı,"₺145,00",https://www.a101.com.tr/ev-yasam/nehir-servis-kasigi_p-26008013
67,Nehir Düz Tatlı Kaşığı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-duz-tatli-kasigi_p-26007930
68,Nehir Desenli Tatlı Çatalı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-tatli-catali_p-26007939
69,Copier Bond Fotokopi A4 Kağıdı 500 Yaprak 80 G,"₺139,95",https://www.a101.com.tr/kitap-kirtasiye/copier-bond-fotokopi-a4-kagidi-500-yaprak-80-g_p-25001104
70,Nehir Desenli Tatlı Kaşığı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-tatli-kasigi_p-26007929
71,Oral-B Sensitive Şarjlı Diş Fırçası Yedek Başlığı 6’lı,"₺649,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/oral-b-sensitive-sarjli-dis-fircasi-yedek-basligi-6-li_p-26046480
72,Hilfe Akım Korumalı 3 Priz 2 USB 1 Type-C Uzatma Kablosu,"₺299,00",https://www.a101.com.tr/oto-bahce-yapi/hilfe-akim-korumali-3-priz-2-usb-1-type-c-uzatma-kablosu_p-26055975
73,Bingo Mutlu Yuvam Beyaz ve Renkliler Toz Çamaşır Deterjanı 10 Kg,"₺529,00",https://www.a101.com.tr/market/bingo-mutlu-yuvam-beyaz-ve-renkliler-toz-camasir-deterjani-10-kg_p-22001910
74,Calvin Klein One Unisex Deo Stick 75 G,"₺949,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-one-unisex-deo-stick-75-g_p-24000170
75,Walke King Çift Kişilik Şişme Yatak Seti Lacivert,"₺1.199,00",https://www.a101.com.tr/ev-yasam/walke-king-cift-kisilik-sisme-yatak-seti-lacivert_p-26065845
76,Sezeray Lora 3'lü Metal Ayaklı Zigon Sehpa Atlantik Çam,"₺999,00",https://www.a101.com.tr/ev-yasam/sezeray-lora-3-lu-metal-ayakli-zigon-sehpa-atlantik-cam_p-26067779
77,English Home Tek Kişilik Yorgan 155x215 cm,"₺399,00",https://www.a101.com.tr/ev-yasam/english-home-tek-kisilik-yorgan-155x215-cm_p-26043915
78,Kzy Mobilya Mercan Çok Amaçlı Ayakkabılık Portmanto Beyaz Meşe,"₺3.199,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-mercan-cok-amacli-ayakkabilik-portmanto-beyaz-mese_p-26066140
79,Kzy Mobilya Çok Amaçlı Dolap 110 cm Beyaz,"₺1.599,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-cok-amacli-dolap-110-cm-beyaz_p-26065403
80,Samsung EP-T2510 25 W Type-C Hızlı Şarj Adaptörü Beyaz,"₺599,00",https://www.a101.com.tr/elektronik/samsung-ep-t2510-25-w-type-c-hizli-sarj-adaptoru-beyaz_p-25005552
81,SEG BM 4001 4 Programlı Bulaşık Makinesi,"₺10.999,00",https://www.a101.com.tr/elektronik/seg-bm-4001-4-programli-bulasik-makinesi_p-26017829
82,Bosch GSB 600 100 Parça Aksesuarlı Darbeli Matkap,"₺3.299,00",https://www.a101.com.tr/oto-bahce-yapi/bosch-gsb-600-100-parca-aksesuarli-darbeli-matkap_p-26067596
83,Kzy Mobilya 8 Raflı Çok Amaçlı Dolap Beyaz,"₺2.199,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-8-rafli-cok-amacli-dolap-beyaz_p-26065400
84,"Samsung Galaxy Tab A9+ X218B 5G 128 GB 8 GB RAM 11"" Tablet Graphite","₺10.999,00",https://www.a101.com.tr/elektronik/samsung-galaxy-tab-a9-x218b-5g-128-gb-8-gb-ram-11-tablet-graphite_p-26052715
85,Ugg Ultra Mini Platform 1135092-SAN Kadın Bot Kum,"₺8.999,00",https://www.a101.com.tr/giyim-aksesuar/ugg-ultra-mini-platform-1135092-san-kadin-bot-kum_p-26044411
86,Arzum Vanessa AR5022 Saç Maşası,"₺999,00",https://www.a101.com.tr/elektronik/arzum-vanessa-ar5022-sac-masasi_p-26066143
87,Lila Çift Kişilik Kenar Korumalı Yatak Alezi 160x200x30 cm,"₺349,00",https://www.a101.com.tr/ev-yasam/lila-cift-kisilik-kenar-korumali-yatak-alezi-160x200x30-cm_p-26055830
88,Exent Fishing Balıkçı Pensesi,"₺129,00",https://www.a101.com.tr/ev-yasam/exent-fishing-balikci-pensesi_p-26039598
89,Exent Fishing Klipsli Fırdöndü 10'lu,"₺49,50",https://www.a101.com.tr/ev-yasam/exent-fishing-klipsli-firdondu-10-lu_p-26055903
90,SEG CM 711 7 Kg Çamaşır Makinesi,"₺10.999,00",https://www.a101.com.tr/elektronik/seg-cm-711-7-kg-camasir-makinesi_p-26057937
91,Viva Cappio Kadın Deodorant 150 ml,"₺109,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/viva-cappio-kadin-deodorant-150-ml_p-24002235
92,Kiwi KHB 4440 El Blender Seti Beyaz,"₺949,00",https://www.a101.com.tr/elektronik/kiwi-khb-4440-el-blender-seti-beyaz_p-26032796
93,Katlanabilir Kamp Sandalyesi 74x51x80 cm Lacivert,"₺279,00",https://www.a101.com.tr/ev-yasam/katlanabilir-kamp-sandalyesi-74x51x80-cm-lacivert_p-26014370
94,SEG LF 2831 Buzdolabı,"₺12.499,00",https://www.a101.com.tr/elektronik/seg-lf-2831-buzdolabi_p-26046959
95,Xiaomi Vacuum Cleaner G20 Şarjlı Dikey Süpürge,"₺8.999,00",https://www.a101.com.tr/elektronik/xiaomi-vacuum-cleaner-g20-sarjli-dikey-supurge_p-26066417
96,Apple MD3J4TU/A 20W USB-C Güç Adaptörü,"₺819,00",https://www.a101.com.tr/elektronik/apple-md3j4tu-a-20w-usb-c-guc-adaptoru_p-25006462
97,Kiwi KLR-1513 Yün Kazak Temizleme Cihazı,"₺199,00",https://www.a101.com.tr/elektronik/kiwi-klr-1513-yun-kazak-temizleme-cihazi_p-26029686
98,Kalima Tavuk Etli Yetişkin Kedi Maması 10 KG,"₺549,00",https://www.a101.com.tr/ev-yasam/kalima-tavuk-etli-yetiskin-kedi-mamasi-10-kg_p-25006340
99,Calvin Klein One Unisex Deodorant 150 ml,"₺1.199,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-one-unisex-deodorant-150-ml_p-24005327
100,Mini Ütü Masası 30x74 cm,"₺289,00",https://www.a101.com.tr/ev-yasam/mini-utu-masasi-30x74-cm_p-26043566
101,Altus AL 413P 3 Programlı Bulaşık Makinesi,"₺11.999,00",https://www.a101.com.tr/elektronik/altus-al-413p-3-programli-bulasik-makinesi_p-26065726
102,"Stanley Classic Legendary 10-07934-003 Klasik Model Termos 1,9 L Yeşil","₺2.399,00",https://www.a101.com.tr/ev-yasam/stanley-classic-legendary-10-07934-003-klasik-model-termos-1-9-l-yesil_p-26017659
103,Piranha Araç İçi Yol Kayıt ve Park Kamerası,"₺1.199,00",https://www.a101.com.tr/oto-bahce-yapi/piranha-arac-ici-yol-kayit-ve-park-kamerasi_p-26016333
104,Xiaomi Smart Air Purifier 4 Lite Hava Temizleyici,"₺7.699,00",https://www.a101.com.tr/elektronik/xiaomi-smart-air-purifier-4-lite-hava-temizleyici_p-26028061
105,Tantitoni Kahve Fincan Takımı Beyaz,"₺349,00",https://www.a101.com.tr/ev-yasam/tantitoni-kahve-fincan-takimi-beyaz_p-26067210
106,Nehir Desenli Çay Kaşığı,"₺25,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-cay-kasigi_p-26007979
107,Xiaomi C300 Smart Kamera Beyaz,"₺1.499,00",https://www.a101.com.tr/elektronik/xiaomi-c300-smart-kamera-beyaz_p-26031405
108,Escamp Kamp Yatağı Yeşil,"₺1.299,00",https://www.a101.com.tr/ev-yasam/escamp-kamp-yatagi-yesil_p-26040172
109,Kzy Mobilya Pratik Çok Amaçlı Ayakkabılık Beyaz,"₺1.399,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-pratik-cok-amacli-ayakkabilik-beyaz_p-26065418
110,Remaks 5 Raflı Kitaplık Beyaz,"₺999,00",https://www.a101.com.tr/ev-yasam/remaks-5-rafli-kitaplik-beyaz_p-26057331
111,English Home Çift Kişilik Yorgan 195x215 cm,"₺499,00",https://www.a101.com.tr/ev-yasam/english-home-cift-kisilik-yorgan-195x215-cm_p-26043916
112,Walke W-Fit Uzaktan Kumandalı Katlanabilir Koşu Bandı,"₺5.599,00",https://www.a101.com.tr/ev-yasam/walke-w-fit-uzaktan-kumandali-katlanabilir-kosu-bandi_p-26064556
113,İzolasyonlu Balıkçı Çantası 28 L,"₺379,00",https://www.a101.com.tr/ev-yasam/izolasyonlu-balikci-cantasi-28-l_p-26061323
114,Katlanabilir Kamp Sandalyesi 74x51x80 cm Mavi,"₺279,00",https://www.a101.com.tr/ev-yasam/katlanabilir-kamp-sandalyesi-74x51x80-cm-mavi_p-26014370
115,Katlanabilir Kamp Sandalyesi 74x51x80 cm Siyah,"₺279,00",https://www.a101.com.tr/ev-yasam/katlanabilir-kamp-sandalyesi-74x51x80-cm-siyah_p-26014370
116,King Nihavend KCM336 Çay Makinesi,"₺1.799,00",https://www.a101.com.tr/elektronik/king-nihavend-kcm336-cay-makinesi_p-26058670
117,Sinbo Işıklı Otomatik Baharat ve Tuz Öğütücü,"₺255,00",https://www.a101.com.tr/ev-yasam/sinbo-isikli-otomatik-baharat-ve-tuz-ogutucu_p-26030747
118,SEG LFW 3252 Buzdolabı,"₺13.499,00",https://www.a101.com.tr/elektronik/seg-lfw-3252-buzdolabi_p-26052602
119,Kiwi KCC-4318 Koltuk ve Halı Yıkama Makinesi Siyah,"₺2.699,00",https://www.a101.com.tr/elektronik/kiwi-kcc-4318-koltuk-ve-hali-yikama-makinesi-siyah_p-26054840
120,Pierre Cardin Elektrikli Katlanabilir Cezve,"₺599,00",https://www.a101.com.tr/elektronik/pierre-cardin-elektrikli-katlanabilir-cezve_p-26058910
121,Nehir Çay Kaşığı,"₺25,00",https://www.a101.com.tr/ev-yasam/nehir-cay-kasigi_p-26007980
122,Tantitoni 2 Bölmeli Yemek Taşıma Kabı 710 ml Pembe,"₺449,00",https://www.a101.com.tr/ev-yasam/tantitoni-2-bolmeli-yemek-tasima-kabi-710-ml-pembe_p-26040909
123,Nehir Desenli Yemek Kaşığı,"₺50,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-yemek-kasigi_p-26007907
124,Molfix Bebek Bezi No:4 Maxi 100 Adet,"₺329,00",https://www.a101.com.tr/anne-bebek-oyuncak/molfix-bebek-bezi-no-4-maxi-100-adet_p-23000852
125,Nehir Düz Yemek Çatalı,"₺50,00",https://www.a101.com.tr/ev-yasam/nehir-duz-yemek-catali_p-26007911
126,Nehir Servis Kaşığı,"₺145,00",https://www.a101.com.tr/ev-yasam/nehir-servis-kasigi_p-26008013
127,Nehir Düz Tatlı Kaşığı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-duz-tatli-kasigi_p-26007930
128,Nehir Desenli Tatlı Çatalı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-tatli-catali_p-26007939
129,Copier Bond Fotokopi A4 Kağıdı 500 Yaprak 80 G,"₺139,95",https://www.a101.com.tr/kitap-kirtasiye/copier-bond-fotokopi-a4-kagidi-500-yaprak-80-g_p-25001104
130,Nehir Desenli Tatlı Kaşığı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-tatli-kasigi_p-26007929
131,Oral-B Sensitive Şarjlı Diş Fırçası Yedek Başlığı 6’lı,"₺649,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/oral-b-sensitive-sarjli-dis-fircasi-yedek-basligi-6-li_p-26046480
132,Hilfe Akım Korumalı 3 Priz 2 USB 1 Type-C Uzatma Kablosu,"₺299,00",https://www.a101.com.tr/oto-bahce-yapi/hilfe-akim-korumali-3-priz-2-usb-1-type-c-uzatma-kablosu_p-26055975
133,Bingo Mutlu Yuvam Beyaz ve Renkliler Toz Çamaşır Deterjanı 10 Kg,"₺529,00",https://www.a101.com.tr/market/bingo-mutlu-yuvam-beyaz-ve-renkliler-toz-camasir-deterjani-10-kg_p-22001910
134,Calvin Klein One Unisex Deo Stick 75 G,"₺949,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-one-unisex-deo-stick-75-g_p-24000170
135,Walke King Çift Kişilik Şişme Yatak Seti Lacivert,"₺1.199,00",https://www.a101.com.tr/ev-yasam/walke-king-cift-kisilik-sisme-yatak-seti-lacivert_p-26065845
136,Sezeray Lora 3'lü Metal Ayaklı Zigon Sehpa Atlantik Çam,"₺999,00",https://www.a101.com.tr/ev-yasam/sezeray-lora-3-lu-metal-ayakli-zigon-sehpa-atlantik-cam_p-26067779
137,English Home Tek Kişilik Yorgan 155x215 cm,"₺399,00",https://www.a101.com.tr/ev-yasam/english-home-tek-kisilik-yorgan-155x215-cm_p-26043915
138,Kzy Mobilya Mercan Çok Amaçlı Ayakkabılık Portmanto Beyaz Meşe,"₺3.199,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-mercan-cok-amacli-ayakkabilik-portmanto-beyaz-mese_p-26066140
139,Kzy Mobilya Çok Amaçlı Dolap 110 cm Beyaz,"₺1.599,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-cok-amacli-dolap-110-cm-beyaz_p-26065403
140,Samsung EP-T2510 25 W Type-C Hızlı Şarj Adaptörü Beyaz,"₺599,00",https://www.a101.com.tr/elektronik/samsung-ep-t2510-25-w-type-c-hizli-sarj-adaptoru-beyaz_p-25005552
141,SEG BM 4001 4 Programlı Bulaşık Makinesi,"₺10.999,00",https://www.a101.com.tr/elektronik/seg-bm-4001-4-programli-bulasik-makinesi_p-26017829
142,Bosch GSB 600 100 Parça Aksesuarlı Darbeli Matkap,"₺3.299,00",https://www.a101.com.tr/oto-bahce-yapi/bosch-gsb-600-100-parca-aksesuarli-darbeli-matkap_p-26067596
143,Kzy Mobilya 8 Raflı Çok Amaçlı Dolap Beyaz,"₺2.199,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-8-rafli-cok-amacli-dolap-beyaz_p-26065400
144,"Samsung Galaxy Tab A9+ X218B 5G 128 GB 8 GB RAM 11"" Tablet Graphite","₺10.999,00",https://www.a101.com.tr/elektronik/samsung-galaxy-tab-a9-x218b-5g-128-gb-8-gb-ram-11-tablet-graphite_p-26052715
145,Ugg Ultra Mini Platform 1135092-SAN Kadın Bot Kum,"₺8.999,00",https://www.a101.com.tr/giyim-aksesuar/ugg-ultra-mini-platform-1135092-san-kadin-bot-kum_p-26044411
146,Arzum Vanessa AR5022 Saç Maşası,"₺999,00",https://www.a101.com.tr/elektronik/arzum-vanessa-ar5022-sac-masasi_p-26066143
147,Lila Çift Kişilik Kenar Korumalı Yatak Alezi 160x200x30 cm,"₺349,00",https://www.a101.com.tr/ev-yasam/lila-cift-kisilik-kenar-korumali-yatak-alezi-160x200x30-cm_p-26055830
