KAYNAK,Rank,Ürün Adı,Fiyat,Link,Marka
a101.csv,42,Xiaomi C300 Smart Kamera Beyaz,"₺1.499,00",https://www.a101.com.tr/elektronik/xiaomi-c300-smart-kamera-beyaz_p-26031405,
a101.csv,43,Altus AL 434P 4 Programlı Bulaşık Makinesi,"₺11.999,00",https://www.a101.com.tr/elektronik/altus-al-434p-4-programli-bulasik-makinesi_p-26065728,
a101.csv,44,SEG LFW 3252 Buzdolabı,"₺13.499,00",https://www.a101.com.tr/elektronik/seg-lfw-3252-buzdolabi_p-26052602,
a101.csv,45,"Stanley Quencher H2.O FlowState Tumbler 10-10826-304 Pipetli Termos 0,60 L Krem","₺1.299,00",https://www.a101.com.tr/ev-yasam/stanley-quencher-h2-o-flowstate-tumbler-10-10826-304-pipetli-termos-0-60-l-krem_p-26061995,
a101.csv,46,Xiaomi Mi AC1200 1200 Mbps Wifi Güçlendirici,"₺1.049,00",https://www.a101.com.tr/elektronik/xiaomi-mi-ac1200-1200-mbps-wifi-guclendirici_p-26041371,
a101.csv,47,SEG BM 4001 4 Programlı Bulaşık Makinesi,"₺11.799,00",https://www.a101.com.tr/elektronik/seg-bm-4001-4-programli-bulasik-makinesi_p-26017829,
a101.csv,48,Garaj Home Elmas Çok Amaçlı Raflı Kahve Köşesi Dolabı Meşe,"₺4.499,00",https://www.a101.com.tr/ev-yasam/garaj-home-elmas-cok-amacli-rafli-kahve-kosesi-dolabi-mese_p-26058362,
a101.csv,49,Nehir Çay Kaşığı,"₺25,00",https://www.a101.com.tr/ev-yasam/nehir-cay-kasigi_p-26007980,
a101.csv,50,Molfix Bebek Bezi No:6 XL 62 Adet,"₺329,00",https://www.a101.com.tr/anne-bebek-oyuncak/molfix-bebek-bezi-no-6-xl-62-adet_p-23000854,
a101.csv,51,Nehir Düz Yemek Çatalı,"₺50,00",https://www.a101.com.tr/ev-yasam/nehir-duz-yemek-catali_p-26007911,
a101.csv,52,Nehir Düz Tatlı Çatalı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-duz-tatli-catali_p-26007970,
a101.csv,53,Nehir Desenli Tatlı Çatalı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-tatli-catali_p-26007939,
a101.csv,54,Molfix Bebek Bezi No:5 Junior 78 Adet,"₺329,00",https://www.a101.com.tr/anne-bebek-oyuncak/molfix-bebek-bezi-no-5-junior-78-adet_p-23000853,
a101.csv,55,Nehir Düz Tatlı Kaşığı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-duz-tatli-kasigi_p-26007930,
a101.csv,56,Nehir Desenli Tatlı Kaşığı,"₺40,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-tatli-kasigi_p-26007929,
a101.csv,57,Molfix Bebek Bezi No:4 Maxi 100 Adet,"₺329,00",https://www.a101.com.tr/anne-bebek-oyuncak/molfix-bebek-bezi-no-4-maxi-100-adet_p-23000852,
a101.csv,58,Altus AL 93 YB 9 Kg Çamaşır Kurutma Makinesi,"₺13.499,00",https://www.a101.com.tr/elektronik/altus-al-93-yb-9-kg-camasir-kurutma-makinesi_p-26065734,
a101.csv,59,Nehir Desenli Çay Kaşığı,"₺25,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-cay-kasigi_p-26007979,
a101.csv,60,Altus AL KM 1160 11 Kg Çamaşır Kurutma Makinesi,"₺18.499,00",https://www.a101.com.tr/elektronik/altus-al-km-1160-11-kg-camasir-kurutma-makinesi_p-26065744,
a101.csv,61,Oral-B Sensitive Şarjlı Diş Fırçası Yedek Başlığı 6’lı,"₺649,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/oral-b-sensitive-sarjli-dis-fircasi-yedek-basligi-6-li_p-26046480,
a101.csv,62,Triathlon T-220 Katlanabilir Yürüyüş ve Koşu Bandı,"₺4.999,00",https://www.a101.com.tr/ev-yasam/triathlon-t-220-katlanabilir-yuruyus-ve-kosu-bandi_p-26068133,
a101.csv,63,Hilfe Akım Korumalı 3 Priz 2 USB 1 Type-C Uzatma Kablosu,"₺299,00",https://www.a101.com.tr/oto-bahce-yapi/hilfe-akim-korumali-3-priz-2-usb-1-type-c-uzatma-kablosu_p-26055975,
a101.csv,64,Nehir Desenli Yemek Çatalı,"₺50,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-yemek-catali_p-26008014,
a101.csv,65,Copier Bond Fotokopi A4 Kağıdı 500 Yaprak 80 G,"₺139,95",https://www.a101.com.tr/kitap-kirtasiye/copier-bond-fotokopi-a4-kagidi-500-yaprak-80-g_p-25001104,
a101.csv,66,Nehir Kevgir,"₺145,00",https://www.a101.com.tr/ev-yasam/nehir-kevgir_p-26007986,
a101.csv,67,Samsung EP-T2510 25 W Type-C Hızlı Şarj Adaptörü Beyaz,"₺699,00",https://www.a101.com.tr/elektronik/samsung-ep-t2510-25-w-type-c-hizli-sarj-adaptoru-beyaz_p-25005552,
a101.csv,68,Altus AL CM 121460 D 12 Kg 1400 Devir Çamaşır Makinesi,"₺20.999,00",https://www.a101.com.tr/elektronik/altus-al-cm-121460-d-12-kg-1400-devir-camasir-makinesi_p-26065749,
a101.csv,69,Apple MD3J4TU/A 20W USB-C Güç Adaptörü,"₺819,00",https://www.a101.com.tr/elektronik/apple-md3j4tu-a-20w-usb-c-guc-adaptoru_p-25006462,
a101.csv,70,Walke King Çift Kişilik Şişme Yatak Seti Lacivert,"₺1.199,00",https://www.a101.com.tr/ev-yasam/walke-king-cift-kisilik-sisme-yatak-seti-lacivert_p-26065845,
a101.csv,71,English Home Çift Kişilik Yorgan 195x215 cm,"₺499,00",https://www.a101.com.tr/ev-yasam/english-home-cift-kisilik-yorgan-195x215-cm_p-26043916,
a101.csv,72,"Stanley 10-09382-005 Klasik Kaşıklı Yemek Termosu 0,40 L Siyah","₺1.599,00",https://www.a101.com.tr/ev-yasam/stanley-10-09382-005-klasik-kasikli-yemek-termosu-0-40-l-siyah_p-26019524,
a101.csv,73,English Home Tek Kişilik Yorgan 155x215 cm,"₺399,00",https://www.a101.com.tr/ev-yasam/english-home-tek-kisilik-yorgan-155x215-cm_p-26043915,
a101.csv,74,Pierre Cardin PC-L11002 IPL Lazer Epilasyon Cihazı,"₺1.999,00",https://www.a101.com.tr/elektronik/pierre-cardin-pc-l11002-ipl-lazer-epilasyon-cihazi_p-26063809,
a101.csv,75,Katlanabilir Kamp Sandalyesi 74x51x80 cm Lacivert,"₺279,00",https://www.a101.com.tr/ev-yasam/katlanabilir-kamp-sandalyesi-74x51x80-cm-lacivert_p-26014370,
a101.csv,76,"Stanley Quencher H2.O FlowState Tumbler 10-10826-303 Pipetli Termos 0,6 L Pembe","₺1.299,00",https://www.a101.com.tr/ev-yasam/stanley-quencher-h2-o-flowstate-tumbler-10-10826-303-pipetli-termos-0-6-l-pembe_p-26061995,
a101.csv,77,Homend Royaltea 1728H Çay Makinesi Inox,"₺2.299,00",https://www.a101.com.tr/elektronik/homend-royaltea-1728h-cay-makinesi-inox_p-26063180,
a101.csv,78,Ugg Classic Ultra Mini Platform 1135092-BLK Kadın Bot Siyah,"₺8.999,00",https://www.a101.com.tr/giyim-aksesuar/ugg-classic-ultra-mini-platform-1135092-blk-kadin-bot-siyah_p-26044411,
a101.csv,79,Ugg Ultra Mini 1116109-CHE Kadın Bot Kahverengi,"₺8.499,00",https://www.a101.com.tr/giyim-aksesuar/ugg-ultra-mini-1116109-che-kadin-bot-kahverengi_p-26031817,
a101.csv,80,"Brita Aluna XL Filtreli Sürahi 3,5 L","₺479,00",https://www.a101.com.tr/ev-yasam/brita-aluna-xl-filtreli-surahi-3-5-l_p-26022317,
a101.csv,81,Tsuyoi Kaze Universal Motosiklet Sele Kılıfı,"₺79,50",https://www.a101.com.tr/oto-bahce-yapi/tsuyoi-kaze-universal-motosiklet-sele-kilifi_p-26021225,
a101.csv,82,Altus AL 1054 E Kurutma Makinesi,"₺16.999,00",https://www.a101.com.tr/elektronik/altus-al-1054-e-kurutma-makinesi_p-26067893,
a101.csv,83,"Stanley Classic Legendary Camp Mug 10-11444-037 Çelik Termos Bardak 0,23 L Pembe","₺999,00",https://www.a101.com.tr/ev-yasam/stanley-classic-legendary-camp-mug-10-11444-037-celik-termos-bardak-0-23-l-pembe_p-26059322,
a101.csv,84,Sinbo Işıklı Otomatik Baharat ve Tuz Öğütücü,"₺255,00",https://www.a101.com.tr/ev-yasam/sinbo-isikli-otomatik-baharat-ve-tuz-ogutucu_p-26030747,
a101.csv,85,Nehir Spatula,"₺145,00",https://www.a101.com.tr/ev-yasam/nehir-spatula_p-26007999,
a101.csv,86,SEG SBM 4021 WE 4 Programlı Bulaşık Makinesi,"₺11.499,00",https://www.a101.com.tr/elektronik/seg-sbm-4021-we-4-programli-bulasik-makinesi_p-26058861,
a101.csv,87,Kzy Mobilya Güney 4 Raflı 2 Kapaklı Çok Amaçlı Ayakkabılık Beyaz,"₺1.699,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-guney-4-rafli-2-kapakli-cok-amacli-ayakkabilik-beyaz_p-26065416,
a101.csv,88,Viva Cappio Kadın Deodorant 150 ml,"₺109,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/viva-cappio-kadin-deodorant-150-ml_p-24002235,
a101.csv,89,King Nihavend KCM336 Çay Makinesi,"₺1.799,00",https://www.a101.com.tr/elektronik/king-nihavend-kcm336-cay-makinesi_p-26058670,
a101.csv,90,Kalima Tavuk Etli Yetişkin Kedi Maması 10 KG,"₺549,00",https://www.a101.com.tr/ev-yasam/kalima-tavuk-etli-yetiskin-kedi-mamasi-10-kg_p-25006340,
a101.csv,91,Sinbo SMX-2769 Stantlı Mikser,"₺2.999,00",https://www.a101.com.tr/elektronik/sinbo-smx-2769-stantli-mikser_p-26045944,
a101.csv,92,Ayaklı Kahve Yanı Bardak 6'lı 125 cc,"₺149,00",https://www.a101.com.tr/ev-yasam/ayakli-kahve-yani-bardak-6-li-125-cc_p-26061861,
a101.csv,93,SEG LF 2831 Buzdolabı,"₺12.999,00",https://www.a101.com.tr/elektronik/seg-lf-2831-buzdolabi_p-26046959,
a101.csv,94,Tefal Ultimate Pure FV9848 3200 W Buharlı Ütü,"₺3.499,00",https://www.a101.com.tr/elektronik/tefal-ultimate-pure-fv9848-3200-w-buharli-utu_p-26058603,
a101.csv,95,Tsuyoi Kaze Balaklava,"₺69,50",https://www.a101.com.tr/oto-bahce-yapi/tsuyoi-kaze-balaklava_p-26028834,
a101.csv,96,Bosch V-Line Matkap Vidalama ve Lokma Ucu Seti 103 Parça,"₺1.049,00",https://www.a101.com.tr/oto-bahce-yapi/bosch-v-line-matkap-vidalama-ve-lokma-ucu-seti-103-parca_p-26066587,
a101.csv,97,"Stanley Quencher H2.O FlowState Tumbler 10-10826-305 Pipetli Termos 0,6 L Siyah","₺1.299,00",https://www.a101.com.tr/ev-yasam/stanley-quencher-h2-o-flowstate-tumbler-10-10826-305-pipetli-termos-0-6-l-siyah_p-26061995,
a101.csv,98,Walke W-Fit Uzaktan Kumandalı Katlanabilir Koşu Bandı,"₺5.599,00",https://www.a101.com.tr/ev-yasam/walke-w-fit-uzaktan-kumandali-katlanabilir-kosu-bandi_p-26064556,
a101.csv,99,Pierre Cardin PC-M20002 Boyun ve Sırt Masaj Aleti,"₺1.199,00",https://www.a101.com.tr/elektronik/pierre-cardin-pc-m20002-boyun-ve-sirt-masaj-aleti_p-26060646,
a101.csv,100,Walke 14 Parça Lüx Pilates Seti Mor,"₺949,00",https://www.a101.com.tr/ev-yasam/walke-14-parca-lux-pilates-seti-mor_p-26067946,
a101.csv,101,Pierre Cardin H10001 Vakumlu Siyah Nokta Temizleyicisi,"₺399,00",https://www.a101.com.tr/elektronik/pierre-cardin-h10001-vakumlu-siyah-nokta-temizleyicisi_p-26048804,
a101.csv,102,Çift Kişilik Alez,"₺149,00",https://www.a101.com.tr/ev-yasam/cift-kisilik-alez_p-26066600,
a101.csv,103,"Stanley Quencher H2.O FlowState Tumbler 10-10824-453 Pipetli Termos 1,18 L Bej","₺1.799,00",https://www.a101.com.tr/ev-yasam/stanley-quencher-h2-o-flowstate-tumbler-10-10824-453-pipetli-termos-1-18-l-bej_p-26053026,
a101.csv,104,Stanley The Stay-Hot Camp 10-09366-171 Klasik Paslanmaz Çelik Termos Bardak 350 ml Açık Mavi,"₺1.199,00",https://www.a101.com.tr/ev-yasam/stanley-the-stay-hot-camp-10-09366-171-klasik-paslanmaz-celik-termos-bardak-350-ml-acik-mavi_p-26019529,
a101.csv,105,Arzum Chefy AR1139 El Blender,"₺1.299,00",https://www.a101.com.tr/elektronik/arzum-chefy-ar1139-el-blender_p-26066136,
a101.csv,106,Calvin Klein Eternity Erkek Deo Stick 75 G,"₺899,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-eternity-erkek-deo-stick-75-g_p-24005206,
a101.csv,107,Calvin Klein One Unisex Deo Stick 75 G,"₺949,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-one-unisex-deo-stick-75-g_p-24000170,
a101.csv,108,Altus AL 380 XE Buzdolabı,"₺28.999,00",https://www.a101.com.tr/elektronik/altus-al-380-xe-buzdolabi_p-26066346,
a101.csv,109,Ugg Ultra Mini 1116109-GREY Kadın Bot Gri,"₺8.499,00",https://www.a101.com.tr/giyim-aksesuar/ugg-ultra-mini-1116109-grey-kadin-bot-gri_p-26031817,
a101.csv,110,PP 3'lü Valiz Seti Koyu Siyah,"₺2.315,00",https://www.a101.com.tr/giyim-aksesuar/pp-3-lu-valiz-seti-koyu-siyah_p-26040954,
a101.csv,111,Walke Elite WXA702 Titreşimli Basen Karın Kol Bacak Spor Aleti,"₺2.099,00",https://www.a101.com.tr/ev-yasam/walke-elite-wxa702-titresimli-basen-karin-kol-bacak-spor-aleti_p-26067947,
a101.csv,112,Ugg Ultra Mini 1116109-SAN Kadın Bot Kum,"₺8.499,00",https://www.a101.com.tr/giyim-aksesuar/ugg-ultra-mini-1116109-san-kadin-bot-kum_p-26031817,
a101.csv,113,Kzy Mobilya 8 Raflı 2 Kapaklı 16R Çok Amaçlı Dolap Beyaz,"₺2.299,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-8-rafli-2-kapakli-16r-cok-amacli-dolap-beyaz_p-26065415,
a101.csv,114,Xiaomi Vacuum Cleaner G20 Şarjlı Dikey Süpürge,"₺10.299,00",https://www.a101.com.tr/elektronik/xiaomi-vacuum-cleaner-g20-sarjli-dikey-supurge_p-26066417,
a101.csv,115,Garaj Home 6 Kapaklı Dolap Beyaz,"₺6.899,00",https://www.a101.com.tr/ev-yasam/garaj-home-6-kapakli-dolap-beyaz_p-26052769,
a101.csv,116,PP Makyaj Çantası 28x17x28 cm Koyu Siyah,"₺299,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/pp-makyaj-cantasi-28x17x28-cm-koyu-siyah_p-26045749,
a101.csv,117,Pierre Cardin Elektrikli Katlanabilir Cezve,"₺599,00",https://www.a101.com.tr/elektronik/pierre-cardin-elektrikli-katlanabilir-cezve_p-26058910,
a101.csv,118,Tsuyoi Kaze Universal Motosiklet Brandası,"₺399,00",https://www.a101.com.tr/oto-bahce-yapi/tsuyoi-kaze-universal-motosiklet-brandasi_p-26021224,
a101.csv,119,"Omo Toz Deterjan 5,5 Kg","₺499,00",https://www.a101.com.tr/market/omo-toz-deterjan-5-5-kg_p-22000279,
a101.csv,120,Bingo Mutlu Yuvam Beyaz ve Renkliler Toz Çamaşır Deterjanı 10 Kg,"₺529,00",https://www.a101.com.tr/market/bingo-mutlu-yuvam-beyaz-ve-renkliler-toz-camasir-deterjani-10-kg_p-22001910,
a101.csv,121,Oral-B Sensitive Şarjlı Diş Fırçası Yedek Başlığı 6’lı,"₺649,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/oral-b-sensitive-sarjli-dis-fircasi-yedek-basligi-6-li_p-26046480,
a101.csv,122,Triathlon T-220 Katlanabilir Yürüyüş ve Koşu Bandı,"₺4.999,00",https://www.a101.com.tr/ev-yasam/triathlon-t-220-katlanabilir-yuruyus-ve-kosu-bandi_p-26068133,
a101.csv,123,Hilfe Akım Korumalı 3 Priz 2 USB 1 Type-C Uzatma Kablosu,"₺299,00",https://www.a101.com.tr/oto-bahce-yapi/hilfe-akim-korumali-3-priz-2-usb-1-type-c-uzatma-kablosu_p-26055975,
a101.csv,124,Nehir Desenli Yemek Çatalı,"₺50,00",https://www.a101.com.tr/ev-yasam/nehir-desenli-yemek-catali_p-26008014,
a101.csv,125,Copier Bond Fotokopi A4 Kağıdı 500 Yaprak 80 G,"₺139,95",https://www.a101.com.tr/kitap-kirtasiye/copier-bond-fotokopi-a4-kagidi-500-yaprak-80-g_p-25001104,
a101.csv,126,Nehir Kevgir,"₺145,00",https://www.a101.com.tr/ev-yasam/nehir-kevgir_p-26007986,
a101.csv,127,Samsung EP-T2510 25 W Type-C Hızlı Şarj Adaptörü Beyaz,"₺699,00",https://www.a101.com.tr/elektronik/samsung-ep-t2510-25-w-type-c-hizli-sarj-adaptoru-beyaz_p-25005552,
a101.csv,128,Altus AL CM 121460 D 12 Kg 1400 Devir Çamaşır Makinesi,"₺20.999,00",https://www.a101.com.tr/elektronik/altus-al-cm-121460-d-12-kg-1400-devir-camasir-makinesi_p-26065749,
a101.csv,129,Apple MD3J4TU/A 20W USB-C Güç Adaptörü,"₺819,00",https://www.a101.com.tr/elektronik/apple-md3j4tu-a-20w-usb-c-guc-adaptoru_p-25006462,
a101.csv,130,Walke King Çift Kişilik Şişme Yatak Seti Lacivert,"₺1.199,00",https://www.a101.com.tr/ev-yasam/walke-king-cift-kisilik-sisme-yatak-seti-lacivert_p-26065845,
a101.csv,131,English Home Çift Kişilik Yorgan 195x215 cm,"₺499,00",https://www.a101.com.tr/ev-yasam/english-home-cift-kisilik-yorgan-195x215-cm_p-26043916,
a101.csv,132,"Stanley 10-09382-005 Klasik Kaşıklı Yemek Termosu 0,40 L Siyah","₺1.599,00",https://www.a101.com.tr/ev-yasam/stanley-10-09382-005-klasik-kasikli-yemek-termosu-0-40-l-siyah_p-26019524,
a101.csv,133,English Home Tek Kişilik Yorgan 155x215 cm,"₺399,00",https://www.a101.com.tr/ev-yasam/english-home-tek-kisilik-yorgan-155x215-cm_p-26043915,
a101.csv,134,Pierre Cardin PC-L11002 IPL Lazer Epilasyon Cihazı,"₺1.999,00",https://www.a101.com.tr/elektronik/pierre-cardin-pc-l11002-ipl-lazer-epilasyon-cihazi_p-26063809,
a101.csv,135,Katlanabilir Kamp Sandalyesi 74x51x80 cm Lacivert,"₺279,00",https://www.a101.com.tr/ev-yasam/katlanabilir-kamp-sandalyesi-74x51x80-cm-lacivert_p-26014370,
a101.csv,136,"Stanley Quencher H2.O FlowState Tumbler 10-10826-303 Pipetli Termos 0,6 L Pembe","₺1.299,00",https://www.a101.com.tr/ev-yasam/stanley-quencher-h2-o-flowstate-tumbler-10-10826-303-pipetli-termos-0-6-l-pembe_p-26061995,
